option,1A,1B,1D,1E,1G,1I,1K,1L
98,E,J,B,C,H,F,L,I
99,E,J,B,C,H,F,I,K
100,E,G,B,C,J,F,L,K
101,E,G,B,C,I,F,L,K
102,E,G,B,C,J,F,L,I
103,E,G,B,C,J,F,I,K
104,E,G,B,C,H,F,L,K
105,H,G,B,C,J,F,L,E
106,H,G,B,C,J,F,E,K
107,E,G,B,C,H,F,L,I
108,E,G,B,C,H,F,I,K
109,H,G,B,C,J,F,E,I
110,H,J,B,C,I,D,L,K
111,I,G,B,C,J,D,L,K
112,H,G,B,C,J,D,L,K
113,H,G,B,C,I,D,L,K
114,H,G,B,C,J,D,L,I
115,H,G,B,C,J,D,I,K
116,C,J,B,D,I,F,L,K
117,C,J,B,D,H,F,L,K
118,C,I,B,D,H,F,L,K
119,C,J,B,D,H,F,L,I
120,C,J,B,D,H,F,I,K
121,C,G,B,D,J,F,L,K
122,C,G,B,D,I,F,L,K
123,C,G,B,D,J,F,L,I
124,C,G,B,D,J,F,I,K
125,C,G,B,D,H,F,L,K
126,C,G,B,D,H,F,L,J
127,H,G,B,C,J,F,D,K
128,C,G,B,D,H,F,L,I
129,C,G,B,D,H,F,I,K
130,H,G,B,C,J,F,D,I
131,E,J,B,C,I,D,L,K
132,E,J,B,C,H,D,L,K
133,E,I,B,C,H,D,L,K
134,E,J,B,C,H,D,L,I
135,E,J,B,C,H,D,I,K
136,E,G,B,C,J,D,L,K
137,E,G,B,C,I,D,L,K
138,E,G,B,C,J,D,L,I
139,E,G,B,C,J,D,I,K
140,E,G,B,C,H,D,L,K
141,H,G,B,C,J,D,L,E
142,H,G,B,C,J,D,E,K
143,E,G,B,C,H,D,L,I
144,E,G,B,C,H,D,I,K
145,H,G,B,C,J,D,E,I
146,C,J,B,D,E,F,L,K
147,C,E,B,D,I,F,L,K
148,C,J,B,D,E,F,L,I
149,C,J,B,D,E,F,I,K
150,C,E,B,D,H,F,L,K
151,C,J,B,D,H,F,L,E
152,C,J,B,D,H,F,E,K
153,C,E,B,D,H,F,L,I
154,C,E,B,D,H,F,I,K
155,C,J,B,D,H,F,E,I
156,C,G,B,D,E,F,L,K
157,C,G,B,D,J,F,L,E
158,C,G,B,D,J,F,E,K
159,C,G,B,D,E,F,L,I
160,C,G,B,D,E,F,I,K
161,C,G,B,D,J,F,E,I
162,C,G,B,D,H,F,L,E
163,C,G,B,D,H,F,E,K
164,H,G,B,C,J,F,D,E
165,C,G,B,D,H,F,E,I
166,H,J,I,F,A,G,L,K
167,E,J,I,A,H,G,L,K
168,E,J,I,F,A,H,L,K
169,E,J,I,F,A,G,L,K
170,E,G,J,F,A,H,L,K
171,E,G,I,F,A,H,L,K
172,E,G,J,F,A,H,L,I
173,E,G,J,F,A,H,I,K
174,H,J,I,D,A,G,L,K
175,H,J,I,D,A,F,L,K
176,I,G,J,D,A,F,L,K
177,H,G,J,D,A,F,L,K
178,H,G,I,D,A,F,L,K
179,H,G,J,D,A,F,L,I
180,H,G,J,D,A,F,I,K
181,E,J,I,D,A,H,L,K
182,E,J,I,D,A,G,L,K
183,E,G,J,D,A,H,L,K
184,E,G,I,D,A,H,L,K
185,E,G,J,D,A,H,L,I
186,E,G,J,D,A,H,I,K
187,E,J,I,D,A,F,L,K
188,H,J,E,D,A,F,L,K
189,H,E,I,D,A,F,L,K
190,H,J,E,D,A,F,L,I
191,H,J,E,D,A,F,I,K
192,E,G,J,D,A,F,L,K
193,E,G,I,D,A,F,L,K
194,E,G,J,D,A,F,L,I
195,E,G,J,D,A,F,I,K
196,H,G,E,D,A,F,L,K
197,H,G,J,D,A,F,L,E
198,H,G,J,D,A,F,E,K
199,H,G,E,D,A,F,L,I
200,H,G,E,D,A,F,I,K
201,H,G,J,D,A,F,E,I
202,H,J,I,C,A,G,L,K
203,H,J,I,C,A,F,L,K
204,I,G,J,C,A,F,L,K
205,H,G,J,C,A,F,L,K
206,H,G,I,C,A,F,L,K
207,H,G,J,C,A,F,L,I
208,H,G,J,C,A,F,I,K
209,E,J,I,C,A,H,L,K
210,E,J,I,C,A,G,L,K
211,E,G,J,C,A,H,L,K
212,E,G,I,C,A,H,L,K
213,E,G,J,C,A,H,L,I
214,E,G,J,C,A,H,I,K
215,E,J,I,C,A,F,L,K
216,H,J,E,C,A,F,L,K
217,H,E,I,C,A,F,L,K
218,H,J,E,C,A,F,L,I
219,H,J,E,C,A,F,I,K
220,E,G,J,C,A,F,L,K
221,E,G,I,C,A,F,L,K
222,E,G,J,C,A,F,L,I
223,E,G,J,C,A,F,I,K
224,H,G,E,C,A,F,L,K
225,H,G,J,C,A,F,L,E
226,H,G,J,C,A,F,E,K
227,H,G,E,C,A,F,L,I
228,H,G,E,C,A,F,I,K
229,H,G,J,C,A,F,E,I
230,H,J,I,C,A,D,L,K
231,I,G,J,C,A,D,L,K
232,H,G,J,C,A,D,L,K
233,H,G,I,C,A,D,L,K
234,H,G,J,C,A,D,L,I
235,H,G,J,C,A,D,I,K
236,C,J,I,D,A,F,L,K
237,H,J,F,C,A,D,L,K
238,H,F,I,C,A,D,L,K
239,H,J,F,C,A,D,L,I
240,H,J,F,C,A,D,I,K
241,C,G,J,D,A,F,L,K
242,C,G,I,D,A,F,L,K
243,C,G,J,D,A,F,L,I
244,C,G,J,D,A,F,I,K
245,H,G,F,C,A,D,L,K
246,C,G,J,D,A,F,L,H
247,H,G,J,C,A,F,D,K
248,H,G,F,C,A,D,L,I
249,H,G,F,C,A,D,I,K
250,H,G,J,C,A,F,D,I
251,E,J,I,C,A,D,L,K
252,H,J,E,C,A,D,L,K
253,H,E,I,C,A,D,L,K
254,H,J,E,C,A,D,L,I
255,H,J,E,C,A,D,I,K
256,E,G,J,C,A,D,L,K
257,E,G,I,C,A,D,L,K
258,E,G,J,C,A,D,L,I
259,E,G,J,C,A,D,I,K
260,H,G,E,C,A,D,L,K
261,H,G,J,C,A,D,L,E
262,H,G,J,C,A,D,E,K
263,H,G,E,C,A,D,L,I
264,H,G,E,C,A,D,I,K
265,H,G,J,C,A,D,E,I
266,C,J,E,D,A,F,L,K
267,C,E,I,D,A,F,L,K
268,C,J,E,D,A,F,L,I
269,C,J,E,D,A,F,I,K
270,H,E,F,C,A,D,L,K
271,H,J,F,C,A,D,L,E
272,H,J,E,C,A,F,D,K
273,H,E,F,C,A,D,L,I
274,H,E,F,C,A,D,I,K
275,H,J,E,C,A,F,D,I
276,C,G,E,D,A,F,L,K
277,C,G,J,D,A,F,L,E
278,C,G,J,D,A,F,E,K
279,C,G,E,D,A,F,L,I
280,C,G,E,D,A,F,I,K
281,C,G,J,D,A,F,E,I
282,H,G,F,C,A,D,L,E
283,H,G,E,C,A,F,D,K
284,H,G,J,C,A,F,D,E
285,H,G,E,C,A,F,D,I
286,H,J,B,A,I,G,L,K
287,H,J,B,A,I,F,L,K
288,I,J,B,F,A,G,L,K
289,H,J,B,F,A,G,L,K
290,H,G,B,A,I,F,L,K
291,H,J,B,F,A,G,L,I
292,H,J,B,F,A,G,I,K
293,E,J,B,A,I,H,L,K
294,E,J,B,A,I,G,L,K
295,E,J,B,A,H,G,L,K
296,E,G,B,A,I,H,L,K
297,E,J,B,A,H,G,L,I
298,E,J,B,A,H,G,I,K
299,E,J,B,A,I,F,L,K
300,E,J,B,F,A,H,L,K
301,E,I,B,F,A,H,L,K
302,E,J,B,F,A,H,L,I
303,E,J,B,F,A,H,I,K
304,E,J,B,F,A,G,L,K
305,E,G,B,A,I,F,L,K
306,E,J,B,F,A,G,L,I
307,E,J,B,F,A,G,I,K
308,E,G,B,F,A,H,L,K
309,H,J,B,F,A,G,L,E
310,H,J,B,F,A,G,E,K
311,E,G,B,F,A,H,L,I
312,E,G,B,F,A,H,I,K
313,H,J,B,F,A,G,E,I
314,I,J,B,D,A,H,L,K
315,I,J,B,D,A,G,L,K
316,H,J,B,D,A,G,L,K
317,I,G,B,D,A,H,L,K
318,H,J,B,D,A,G,L,I
319,H,J,B,D,A,G,I,K
320,I,J,B,D,A,F,L,K
321,H,J,B,D,A,F,L,K
322,H,I,B,D,A,F,L,K
323,H,J,B,D,A,F,L,I
324,H,J,B,D,A,F,I,K
325,F,J,B,D,A,G,L,K
326,I,G,B,D,A,F,L,K
327,F,J,B,D,A,G,L,I
328,F,J,B,D,A,G,I,K
329,H,G,B,D,A,F,L,K
330,H,G,B,D,A,F,L,J
331,H,G,B,D,A,F,J,K
332,H,G,B,D,A,F,L,I
333,H,G,B,D,A,F,I,K
334,H,G,B,D,A,F,I,J
335,E,J,B,A,I,D,L,K
336,E,J,B,D,A,H,L,K
337,E,I,B,D,A,H,L,K
338,E,J,B,D,A,H,L,I
339,E,J,B,D,A,H,I,K
340,E,J,B,D,A,G,L,K
341,E,G,B,A,I,D,L,K
342,E,J,B,D,A,G,L,I
343,E,J,B,D,A,G,I,K
344,E,G,B,D,A,H,L,K
345,H,J,B,D,A,G,L,E
346,H,J,B,D,A,G,E,K
347,E,G,B,D,A,H,L,I
348,E,G,B,D,A,H,I,K
349,H,J,B,D,A,G,E,I
350,E,J,B,D,A,F,L,K
351,E,I,B,D,A,F,L,K
352,E,J,B,D,A,F,L,I
353,E,J,B,D,A,F,I,K
354,H,E,B,D,A,F,L,K
355,H,J,B,D,A,F,L,E
356,H,J,B,D,A,F,E,K
357,H,E,B,D,A,F,L,I
358,H,E,B,D,A,F,I,K
359,H,J,B,D,A,F,E,I
360,E,G,B,D,A,F,L,K
361,E,G,B,D,A,F,L,J
362,E,G,B,D,A,F,J,K
363,E,G,B,D,A,F,L,I
364,E,G,B,D,A,F,I,K
365,E,G,B,D,A,F,I,J
366,H,G,B,D,A,F,L,E
367,H,G,B,D,A,F,E,K
368,H,G,B,D,A,F,E,J
369,H,G,B,D,A,F,E,I
370,I,J,B,C,A,H,L,K
371,I,J,B,C,A,G,L,K
372,H,J,B,C,A,G,L,K
373,I,G,B,C,A,H,L,K
374,H,J,B,C,A,G,L,I
375,H,J,B,C,A,G,I,K
376,I,J,B,C,A,F,L,K
377,H,J,B,C,A,F,L,K
378,H,I,B,C,A,F,L,K
379,H,J,B,C,A,F,L,I
380,H,J,B,C,A,F,I,K
381,C,J,B,F,A,G,L,K
382,I,G,B,C,A,F,L,K
383,C,J,B,F,A,G,L,I
384,C,J,B,F,A,G,I,K
385,H,G,B,C,A,F,L,K
386,H,G,B,C,A,F,L,J
387,H,G,B,C,A,F,J,K
388,H,G,B,C,A,F,L,I
389,H,G,B,C,A,F,I,K
390,H,G,B,C,A,F,I,J
391,E,J,B,A,I,C,L,K
392,E,J,B,C,A,H,L,K
393,E,I,B,C,A,H,L,K
394,E,J,B,C,A,H,L,I
395,E,J,B,C,A,H,I,K
396,E,J,B,C,A,G,L,K
397,E,G,B,A,I,C,L,K
398,E,J,B,C,A,G,L,I
399,E,J,B,C,A,G,I,K
400,E,G,B,C,A,H,L,K
401,H,J,B,C,A,G,L,E
402,H,J,B,C,A,G,E,K
403,E,G,B,C,A,H,L,I
404,E,G,B,C,A,H,I,K
405,H,J,B,C,A,G,E,I
406,E,J,B,C,A,F,L,K
407,E,I,B,C,A,F,L,K
408,E,J,B,C,A,F,L,I
409,E,J,B,C,A,F,I,K
410,H,E,B,C,A,F,L,K
411,H,J,B,C,A,F,L,E
412,H,J,B,C,A,F,E,K
413,H,E,B,C,A,F,L,I
414,H,E,B,C,A,F,I,K
415,H,J,B,C,A,F,E,I
416,E,G,B,C,A,F,L,K
417,E,G,B,C,A,F,L,J
418,E,G,B,C,A,F,J,K
419,E,G,B,C,A,F,L,I
420,E,G,B,C,A,F,I,K
421,E,G,B,C,A,F,I,J
422,H,G,B,C,A,F,L,E
423,H,G,B,C,A,F,E,K
424,H,G,B,C,A,F,E,J
425,H,G,B,C,A,F,E,I
426,I,J,B,C,A,D,L,K
427,H,J,B,C,A,D,L,K
428,H,I,B,C,A,D,L,K
429,H,J,B,C,A,D,L,I
430,H,J,B,C,A,D,I,K
431,C,J,B,D,A,G,L,K
432,I,G,B,C,A,D,L,K
433,C,J,B,D,A,G,L,I
434,C,J,B,D,A,G,I,K
435,H,G,B,C,A,D,L,K
436,H,G,B,C,A,D,L,J
437,H,G,B,C,A,D,J,K
438,H,G,B,C,A,D,L,I
439,H,G,B,C,A,D,I,K
440,H,G,B,C,A,D,I,J
441,C,J,B,D,A,F,L,K
442,C,I,B,D,A,F,L,K
443,C,J,B,D,A,F,L,I
444,C,J,B,D,A,F,I,K
445,H,F,B,C,A,D,L,K
446,C,J,B,D,A,F,L,H
447,H,J,B,C,A,F,D,K
448,H,F,B,C,A,D,L,I
449,H,F,B,C,A,D,I,K
450,H,J,B,C,A,F,D,I
451,C,G,B,D,A,F,L,K
452,C,G,B,D,A,F,L,J
453,C,G,B,D,A,F,J,K
454,C,G,B,D,A,F,L,I
455,C,G,B,D,A,F,I,K
456,C,G,B,D,A,F,I,J
457,C,G,B,D,A,F,L,H
458,H,G,B,C,A,F,D,K
459,H,G,B,C,A,F,D,J
460,H,G,B,C,A,F,D,I
461,E,J,B,C,A,D,L,K
462,E,I,B,C,A,D,L,K
463,E,J,B,C,A,D,L,I
464,E,J,B,C,A,D,I,K
465,H,E,B,C,A,D,L,K
466,H,J,B,C,A,D,L,E
467,H,J,B,C,A,D,E,K
468,H,E,B,C,A,D,L,I
469,H,E,B,C,A,D,I,K
470,H,J,B,C,A,D,E,I
471,E,G,B,C,A,D,L,K
472,E,G,B,C,A,D,L,J
473,E,G,B,C,A,D,J,K
474,E,G,B,C,A,D,L,I
475,E,G,B,C,A,D,I,K
476,E,G,B,C,A,D,I,J
477,H,G,B,C,A,D,L,E
478,H,G,B,C,A,D,E,K
479,H,G,B,C,A,D,E,J
480,H,G,B,C,A,D,E,I
481,C,E,B,D,A,F,L,K
482,C,J,B,D,A,F,L,E
483,C,J,B,D,A,F,E,K
484,C,E,B,D,A,F,L,I
485,C,E,B,D,A,F,I,K
486,C,J,B,D,A,F,E,I
487,H,F,B,C,A,D,L,E
488,H,E,B,C,A,F,D,K
489,H,J,B,C,A,F,D,E
490,H,E,B,C,A,F,D,I
491,C,G,B,D,A,F,L,E
492,C,G,B,D,A,F,E,K
493,C,G,B,D,A,F,E,J
494,C,G,B,D,A,F,E,I
495,H,G,B,C,A,F,D,E
